"","Company","Ticker","Local Price","Shares Outstanding","Market Cap"
"344","PVH Corp","PVH","95.60","81,946,000.00","7,834,037,600.00"
"345","Parker-Hannifin Corp","PH","116.02","135,103,000.00","15,674,650,060.00"
"346","Patterson Cos Inc","PDCO","43.35","99,430,000.00","4,310,290,500.00"
"347","PayPal Holdings Inc.","PYPL","39.18","1,222,676,000.00","47,904,445,680.00"
"348","Paychex Inc","PAYX","52.12","360,946,000.00","18,812,505,520.00"
"349","Pentair PLC","PNR","58.08","182,442,000.00","10,596,231,360.00"
"350","People's United Financial  Inc","PBCT","15.50","310,440,000.00","4,811,820,000.00"
"351","PepsiCo Inc","PEP","102.96","1,445,413,000.00","148,819,722,480.00"
"352","PerkinElmer Inc","PKI","50.42","109,789,000.00","5,535,561,380.00"
"353","Perrigo Company plc","PRGO","96.67","146,402,000.00","14,152,681,340.00"
"354","Pfizer Inc","PFE","32.71","6,048,140,000.00","197,834,659,400.00"
"355","Philip Morris  International","PM","98.12","1,549,347,000.00","152,021,927,640.00"
"356","Phillips 66","PSX","82.11","527,460,000.00","43,309,740,600.00"
"357","Pinnacle West Capital  (AZ)","PNW","72.65","111,005,000.00","8,064,513,250.00"
"358","Pioneer Natural Resources","PXD","166.10","163,267,000.00","27,118,648,700.00"
"359","Pitney Bowes Inc","PBI","20.97","191,561,000.00","4,017,034,170.00"
"360","Praxair Inc","PX","117.46","284,836,000.00","33,456,836,560.00"
"361","Principal Financial Group","PFG","42.68","291,626,000.00","12,446,597,680.00"
"362","ProLogis Inc","PLD","45.41","524,774,000.00","23,829,987,340.00"
"363","Procter & Gamble","PG","80.12","2,652,566,000.00","212,523,587,920.00"
"364","Progressive Corp","PGR","32.60","584,328,000.00","19,049,092,800.00"
"365","Prudential Financial Inc","PRU","77.64","446,000,000.00","34,627,440,000.00"
"366","Public Service Enterprise  Grp","PEG","46.13","506,435,000.00","23,361,846,550.00"
"367","Public Storage","PSA","244.81","173,269,000.00","42,417,983,890.00"
"368","Pulte Group Inc","PHM","18.39","349,148,000.00","6,420,831,720.00"
"369","QUALCOMM Inc","QCOM","50.52","1,494,887,000.00","75,521,691,240.00"
"370","Qorvo, Inc","QRVO","45.03","129,105,000.00","5,813,598,150.00"
"371","Quanta Services Inc","PWR","23.72","159,783,000.00","3,790,052,760.00"
"372","Quest Diagnostics","DGX","75.17","142,759,000.00","10,731,194,030.00"
"373","Ralph Lauren Corp A","RL","93.21","58,133,000.00","5,418,576,930.00"
"374","Range Resources Corp","RRC","44.11","169,586,000.00","7,480,438,460.00"
"375","Raytheon Co","RTN","126.35","298,998,000.00","37,778,397,300.00"
"376","Realty Income Corp","O","59.20","250,417,000.00","14,824,686,400.00"
"377","Red Hat Inc","RHT","73.37","182,625,000.00","13,399,196,250.00"
"378","Regeneron Pharmaceuticals  Inc","REGN","376.71","102,735,000.00","38,701,301,850.00"
"379","Regions Financial Corp","RF","9.38","1,287,827,000.00","12,079,817,260.00"
"380","Republic Services Inc","RSG","47.07","344,870,000.00","16,233,030,900.00"
"381","Reynolds American Inc","RAI","49.60","1,427,340,000.00","70,796,064,000.00"
"382","Robert Half Intl Inc","RHI","38.31","131,157,000.00","5,024,624,670.00"
"383","Rockwell Automation Inc","ROK","113.47","131,423,000.00","14,912,567,810.00"
"384","Rockwell Collins","COL","88.19","131,131,000.00","11,564,442,890.00"
"385","Roper Technologies, Inc","ROP","176.09","101,065,000.00","17,796,535,850.00"
"386","Ross Stores Inc","ROST","56.78","405,005,000.00","22,996,183,900.00"
"387","Royal Caribbean Cruises  Ltd","RCL","77.40","217,409,000.00","16,827,456,600.00"
"388","Ryder System Inc","R","68.92","53,494,000.00","3,686,806,480.00"
"389","S&P Global Inc","SPGI","106.85","265,300,000.00","28,347,305,000.00"
"390","SCANA Corp","SCG","68.69","142,917,000.00","9,816,968,730.00"
"391","SL Green Realty Corp","SLG","105.08","100,055,000.00","10,513,779,400.00"
"392","Salesforce.com","CRM","75.80","670,900,000.00","50,854,220,000.00"
"393","SanDisk Corp","SNDK","75.13","201,014,000.00","15,102,181,820.00"
"394","Schein Henry Inc","HSIC","168.70","81,942,000.00","13,823,615,400.00"
"395","Schlumberger Ltd","SLB","80.34","1,390,411,884.00","111,705,690,760.56"
"396","Schwab Charles Corp","SCHW","28.41","1,320,523,000.00","37,516,058,430.00"
"397","Scripps Networks  Interactive A","SNI","62.35","94,864,000.00","5,914,770,400.00"
"398","Seagate Technology","STX","21.77","296,422,000.00","6,453,106,940.00"
"399","Sealed Air Corp","SEE","47.36","195,990,000.00","9,282,086,400.00"
"400","Sempra Energy","SRE","103.35","248,208,000.00","25,652,296,800.00"
"401","Sherwin-Williams Co","SHW","287.31","92,270,000.00","26,510,093,700.00"
"402","Signet Jewelers Ltd","SIG","108.56","79,532,000.00","8,633,993,920.00"
"403","Simon Property Group A","SPG","201.17","309,413,000.00","62,244,613,210.00"
"404","Skyworks Solutions Inc","SWKS","66.82","191,668,000.00","12,807,255,760.00"
"405","Smucker J.M. Co","SJM","126.98","119,684,000.00","15,197,474,320.00"
"406","Snap On Inc","SNA","159.28","58,092,000.00","9,252,893,760.00"
"407","Southern Co","SO","50.10","912,847,000.00","45,733,634,700.00"
"408","Southwest Airlines Co","LUV","44.61","638,070,000.00","28,464,302,700.00"
"409","Southwestern Energy Co","SWN","13.43","389,664,000.00","5,233,187,520.00"
"410","Spectra Energy Corp","SE","31.27","671,500,000.00","20,997,805,000.00"
"411","St Jude Medical Inc","STJ","76.20","283,617,000.00","21,611,615,400.00"
"412","Stanley Black &  Decker","SWK","111.92","152,335,000.00","17,049,333,200.00"
"413","Staples Inc","SPLS","10.20","645,757,000.00","6,586,721,400.00"
"414","Starbucks Corp","SBUX","56.23","1,478,100,000.00","83,113,563,000.00"
"415","Starwood Hotel &  Resort World","HOT","81.88","168,760,000.00","13,818,068,800.00"
"416","State Street Corp","STT","62.30","400,017,000.00","24,921,059,100.00"
"417","Stericycle Inc","SRCL","95.56","84,985,000.00","8,121,166,600.00"
"418","Stryker Corp","SYK","109.01","372,982,000.00","40,658,767,820.00"
"419","SunTrust Banks Inc (GA)","STI","41.74","505,000,000.00","21,078,700,000.00"
"420","Symantec Corp","SYMC","16.65","609,923,000.00","10,152,168,335.00"
"421","Synchrony Financial","SYF","30.57","833,829,000.00","25,490,152,530.00"
"422","Sysco Corp","SYY","46.07","564,603,000.00","26,011,260,210.00"
"423","T Rowe Price Group Inc","TROW","75.29","248,179,000.00","18,685,396,910.00"
"424","TE Connectivity Ltd.","TEL","59.48","369,678,000.00","21,988,447,440.00"
"425","TECO Energy Inc","TE","27.77","235,495,000.00","6,539,696,150.00"
"426","TEGNA Inc","TGNA","23.36","219,720,000.00","5,132,659,200.00"
"427","TJX Cos Inc","TJX","75.82","669,529,000.00","50,763,688,780.00"
"428","Target Corp","TGT","79.50","602,227,000.00","47,877,046,500.00"
"429","Teradata Corp","TDC","25.30","133,000,000.00","3,364,900,000.00"
"430","Tesoro Corp","TSO","79.69","119,300,000.00","9,507,017,000.00"
"431","Texas Instruments Inc","TXN","57.04","1,005,258,000.00","57,339,916,320.00"
"432","Textron Inc","TXT","38.68","271,172,000.00","10,488,932,960.00"
"433","The ADT Corp.","ADT","41.98","165,319,000.00","6,940,091,620.00"
"434","The Bank of New York  Mellon Corp","BK","40.24","1,075,801,000.00","43,290,232,240.00"
"435","The Kraft Heinz Company","KHC","78.07","1,213,456,000.00","94,734,509,920.00"
"436","The Priceline Group Inc","PCLN","1,343.66","49,617,000.00","66,668,378,220.00"
"437","The Williams Companies  Inc","WMB","19.39","750,066,000.00","14,543,779,740.00"
"438","Thermo Fisher Scientific","TMO","144.25","396,262,000.00","57,160,793,500.00"
"439","Tiffany & Co","TIF","71.35","128,212,000.00","9,147,926,200.00"
"440","Time Warner Cable Inc","TWC","212.11","283,270,000.00","60,084,399,700.00"
"441","Time Warner Inc","TWX","75.14","790,154,000.00","59,372,171,560.00"
"442","Torchmark Corp","TMK","57.89","121,265,000.00","7,020,030,850.00"
"443","Total System Services Inc","TSS","51.14","183,169,000.00","9,367,262,660.00"
"444","Tractor Supply Co","TSCO","94.66","133,740,000.00","12,659,828,400.00"
"445","Transocean Ltd","RIG","11.08","364,114,000.00","4,034,383,120.00"
"446","Travelers Cos Inc","TRV","109.90","294,977,000.00","32,417,972,300.00"
"447","TripAdvisor Inc. A","TRIP","64.59","132,465,000.00","8,555,914,350.00"
"448","Twenty-First Century Fox  Inc A","FOXA","30.26","1,119,447,000.00","33,874,466,220.00"
"449","Twenty-First Century Fox  Inc B","FOX","30.12","798,521,000.00","24,051,452,520.00"
"450","Tyco Intl","TYC","38.52","424,619,000.00","16,356,323,880.00"
"451","Tyson Foods Inc A","TSN","65.82","293,094,000.00","19,291,447,080.00"
"452","UDR Inc","UDR","34.92","267,133,000.00","9,328,284,360.00"
"453","US Bancorp","USB","42.69","1,737,316,000.00","74,166,020,040.00"
"454","Ulta Salon Cosmetics  & Fragr","ULTA","208.28","63,699,000.00","13,267,227,720.00"
"455","Under Armour Inc A","UA","43.94","181,650,000.00","7,981,701,000.00"
"456","Under Armour Inc-C","UA-C","40.80","181,650,000.00","7,411,320,000.00"
"457","Union Pacific Corp","UNP","87.23","846,414,000.00","73,832,693,220.00"
"458","United Continental  Holding Inc","UAL","45.81","359,485,000.00","16,468,007,850.00"
"459","United Parcel Service Inc  B","UPS","105.07","690,181,000.00","72,517,317,670.00"
"460","United Rentals Inc","URI","66.93","90,970,000.00","6,088,622,100.00"
"461","United Technologies Corp","UTX","104.37","836,432,000.00","87,298,407,840.00"
"462","Unitedhealth Group Inc","UNH","131.68","950,674,000.00","125,184,752,320.00"
"463","Universal Health Services  B","UHS","133.68","90,385,000.00","12,082,666,800.00"
"464","Unum Group","UNM","34.21","238,857,000.00","8,171,297,970.00"
"465","Urban Outfitters","URBN","30.32","117,321,000.00","3,557,172,720.00"
"466","VF Corp","VFC","63.05","424,475,000.00","26,763,148,750.00"
"467","Valero Energy Corp","VLO","58.87","470,393,000.00","27,692,035,910.00"
"468","Varian Medical Systems  Inc","VAR","81.18","95,503,000.00","7,752,933,540.00"
"469","Ventas Inc","VTR","62.12","336,070,000.00","20,876,668,400.00"
"470","VeriSign Inc","VRSN","86.40","109,469,000.00","9,458,121,600.00"
"471","Verisk Analytics Inc","VRSK","77.58","168,034,000.00","13,036,077,720.00"
"472","Verizon Communications  Inc","VZ","50.94","4,073,841,000.00","207,521,460,540.00"
"473","Vertex Pharmaceuticals  Inc","VRTX","84.34","246,392,000.00","20,780,701,280.00"
"474","Viacom Inc B","VIAB","40.90","346,456,000.00","14,170,050,400.00"
"475","Visa Inc A","V","77.24","1,919,131,000.00","148,233,678,440.00"
"476","Vornado Realty Trust","VNO","95.73","188,577,000.00","18,052,476,210.00"
"477","Vulcan Materials Co","VMC","107.63","133,181,000.00","14,334,271,030.00"
"478","WEC Energy Group Inc","WEC","58.21","315,652,000.00","18,374,102,920.00"
"479","Wal-Mart Stores","WMT","66.87","3,201,893,000.00","214,110,584,910.00"
"480","Walgreens Boots Alliance  Inc","WBA","79.28","1,078,747,000.00","85,523,062,160.00"
"481","Walt Disney Co","DIS","103.26","1,631,570,000.00","168,475,918,200.00"
"482","Waste Management Inc","WM","58.79","445,652,000.00","26,199,881,080.00"
"483","Waters Corp","WAT","130.16","81,254,000.00","10,576,020,640.00"
"484","Wells Fargo & Co","WFC","49.98","5,076,712,000.00","253,734,065,760.00"
"485","Welltower Inc","HCN","69.42","355,141,000.00","24,653,888,220.00"
"486","WestRock Co","WRK","41.85","253,849,000.00","10,623,580,650.00"
"487","Western Digital Corp","WDC","40.87","232,770,000.00","9,512,146,050.00"
"488","Western Union Co","WU","20.00","501,914,000.00","10,038,280,000.00"
"489","Weyerhaeuser Co","WY","32.12","789,393,000.00","25,355,303,160.00"
"490","Whirlpool Corp","WHR","174.14","77,233,000.00","13,449,354,620.00"
"491","Whole Foods Market Inc","WFM","29.08","324,616,000.00","9,439,833,280.00"
"492","Willis Towers Watson PLC","WLTW","124.90","138,172,000.00","17,257,682,800.00"
"493","Wyndham Worldwide Corp","WYN","70.95","112,508,000.00","7,982,442,600.00"
"494","Wynn Resorts Ltd","WYNN","88.30","101,750,000.00","8,984,525,000.00"
"495","XL Group Plc","XL","32.73","291,795,000.00","9,550,450,350.00"
"496","Xcel Energy Inc","XEL","40.03","507,554,000.00","20,317,386,620.00"
"497","Xerox Corp","XRX","9.60","1,012,900,000.00","9,723,840,000.00"
"498","Xilinx Inc","XLNX","43.08","255,540,000.00","11,008,663,200.00"
"499","Xylem Inc","XYL","41.78","178,486,000.00","7,457,145,080.00"
"500","Yahoo Inc","YHOO","36.60","946,812,000.00","34,653,319,200.00"
"501","Yum! Brands Inc","YUM","79.56","408,712,000.00","32,517,126,720.00"
"502","Zimmer Biomet Holdings  Inc","ZBH","115.77","198,834,000.00","23,019,012,180.00"
"503","Zions Bancorp (UT)","ZION","27.52","204,507,000.00","5,628,032,640.00"
"504","Zoetis Inc","ZTS","47.03","497,160,000.00","23,381,434,800.00"
"505","eBay Inc.","EBAY","24.43","1,178,705,000.00","28,795,763,150.00"
